field,total,spread,crop,grid_size,sigma,masking
SM01,1200,1,wheat,5,,0.7
SM02,1200,1,wheat,5,,0.7
SM03,1200,1,wheat,5,,0.7
SM04,1200,1,wheat,5,,0.7
SM05,1200,1,wheat,5,,0.7
SM06,1200,1,wheat,5,,0.7
SM07,1200,1,wheat,5,,0.7
SM08,1200,1,wheat,5,,0.7
SM09,1200,1,wheat,5,,0.7
SM10,1200,1,wheat,5,,0.7
SM11,1200,1,wheat,5,,0.7
SM12,1200,1,wheat,5,,0.7
SM13,700,1,wheat,5,,0.7
SM14,700,1,wheat,5,,0.7
SM15,700,1,wheat,5,,0.7
SM16,700,1,wheat,5,,0.7
SM17,700,1,wheat,5,,0.7
SM18,700,1,wheat,5,,0.7
SM19,700,1,wheat,5,,0.7
SM20,700,1,wheat,5,,0.7
SM21,700,1,wheat,5,,0.7
SM22,700,1,wheat,5,,0.7
SM23,700,1,wheat,5,,0.7
SM24,700,1,wheat,5,,0.7
